France,35288.4615384615
Île de France,59326.9230769231
Centre - Val de Loire,29038.4615384615
Bourgogne - Franche-Comté,27980.7692307692
Bourgogne,29038.4615384615
Franche-Comté,26442.3076923077
Normandie,28557.6923076923
Basse-Normandie,27307.6923076923
Haute-Normandie,29519.2307692308
Hauts-de-France,27788.4615384615
Nord-Pas-de-Calais,28846.1538461538
Picardie,25673.0769230769
Grand Est,28653.8461538462
Alsace,32019.2307692308
Champagne-Ardenne,29038.4615384615
Lorraine,25673.0769230769
Pays-de-la-Loire,31346.1538461538
Bretagne,30384.6153846154
Nouvelle-Aquitaine,29807.6923076923
Aquitaine,31153.8461538462
Limousin,26057.6923076923
Poitou-Charentes,28653.8461538462
Occitanie,28653.8461538462
Languedoc-Roussillon,26730.7692307692
Midi-Pyrénées,30480.7692307692
Auvergne - Rhône-Alpes,34134.6153846154
Auvergne,28269.2307692308
Rhône-Alpes,35384.6153846154
Provence-Alpes-Côte d'Azur,33750
Corse,27788.4615384615
RUP FR - Régions ultrapériphériques françaises,20000
Guadeloupe,22019.2307692308
Martinique,24423.0769230769
Guyane,14903.8461538462
La Réunion,22403.8461538462
Mayotte,9519.23076923077
