DATE,GDPC1_GDPPOT
1949-01-01,0.10969201203025298146
1949-04-01,-1.5224874086329826
1949-07-01,-1.8324927401939420
1949-10-01,-3.8810367911195512
1950-01-01,-1.4194104365607154
1950-04-01,0.25571924117746403950
1950-07-01,2.7753095618720380
1950-10-01,3.3371311044865259
1951-01-01,3.3328666323099116
1951-04-01,3.7275844785078673
1951-07-01,4.4223651573603834
1951-10-01,3.1911389621122665
1952-01-01,2.8489502773306099
1952-04-01,1.6133682394078523
1952-07-01,1.0211496799678333
1952-10-01,3.0835318379519768
1953-01-01,3.8720697440243010
1953-04-01,3.6342527621582674
1953-07-01,2.1409828029071957
1953-10-01,-0.19550082435006729772
1954-01-01,-1.4015189373338375
1954-04-01,-1.9440188826130649
1954-07-01,-1.4507487803228723
1954-10-01,-0.15460237762256602987
1955-01-01,2.0738693754981993
1955-04-01,3.0636562559149694
1955-07-01,3.7976340933979449
1955-10-01,3.7432755965117226
1956-01-01,2.6609860982257276
1956-04-01,2.8402537224936344
1956-07-01,2.0574924223640522
1956-10-01,3.0037914231791994
1957-01-01,2.8784220715454496
1957-04-01,1.8314745501628428
1957-07-01,1.9754094955189962
1957-10-01,0.04870508742498462182
1958-01-01,-3.3891595793897914
1958-04-01,-3.6168661084816572
1958-07-01,-2.2712361496945245
1958-10-01,-0.92018987892875727778
1959-01-01,0.03495553595744548049
1959-04-01,1.3082194103082282
1959-07-01,0.36168473453227017450
1959-10-01,-0.35914358501126941213
1960-01-01,0.84547124444046117650
1960-04-01,-0.69846281672564135100
1960-07-01,-1.2035245232529384
1960-10-01,-3.4218536559611369
1961-01-01,-3.7225713047679194
1961-04-01,-3.0155193812078903
1961-07-01,-2.1195399377010010
1961-10-01,-1.1756241859083852
1962-01-01,-0.41773624341143016320
1962-04-01,-0.53717538368527863688
1962-07-01,-0.35172086616712767850
1962-10-01,-1.0622722056016021
1963-01-01,-1.0224442727387855
1963-04-01,-0.96486991315257579455
1963-07-01,0.14021476981468667531
1963-10-01,-0.28178633359750473170
1964-01-01,0.73987067240170394853
1964-04-01,0.74359750981451136230
1964-07-01,1.2173008765990639
1964-10-01,0.44816163165616785405
1965-01-01,1.7596536559996530
1965-04-01,1.9537017701705865
1965-07-01,3.0858508069096295
1965-10-01,4.3115115170278490
1966-01-01,5.6794817999489286
1966-04-01,4.8737184807954780
1966-07-01,4.5932272858171026
1966-10-01,4.3025361789204383
1967-01-01,4.0738900003266913
1967-04-01,3.0027265022607164
1967-07-01,2.8468821828606082
1967-10-01,2.4822238291609307
1968-01-01,3.4207359182961090
1968-04-01,4.0011870692030696
1968-07-01,3.6475950436828216
1968-10-01,2.8982803469622206
1969-01-01,3.3948768335146028
1969-04-01,2.6540893827193982
1969-07-01,2.3391919742482726
1969-10-01,0.91024124718990996381
1970-01-01,-0.11734210638269387205
1970-04-01,-0.80347838190899190032
1970-07-01,-0.68460458488371952705
1970-10-01,-2.5036648903549867
1971-01-01,-0.62009055685320847366
1971-04-01,-0.85453130912501576720
1971-07-01,-0.81649953211303660530
1971-10-01,-1.3619423811061446
1972-01-01,-0.34385803754247752636
1972-04-01,1.1055220419982342
1972-07-01,1.2400666263215730
1972-10-01,2.1010569540494531
1973-01-01,3.7675568640805352
1973-04-01,4.0014358193039159
1973-07-01,2.5683905927835210
1973-10-01,2.6431643308731075
1974-01-01,0.87391660785695007684
1974-04-01,0.23512975882495071643
1974-07-01,-1.5572991240534873
1974-10-01,-2.7544977140208843
1975-01-01,-4.7087661361801578
1975-04-01,-4.7749262059065808
1975-07-01,-3.8867048785625142
1975-10-01,-3.3335719646168188
1976-01-01,-1.9041778310000260
1976-04-01,-1.9371145405840412
1976-07-01,-2.1666106095909672
1976-10-01,-2.2306056606884230
1977-01-01,-1.8713072872312419
1977-04-01,-0.78060986924076268809
1977-07-01,0.17896550147802252001
1977-10-01,-0.65814069416982632098
1978-01-01,-1.1906474674775785
1978-04-01,1.7430736468248492
1978-07-01,1.8644404257924539
1978-10-01,2.3189429767674551
1979-01-01,1.5775412326240488
1979-04-01,0.80639751933682825363
1979-07-01,0.66759521526183234815
1979-10-01,0.17230865394001154470
1980-01-01,-0.19442016670720110106
1980-04-01,-2.8464064292801227
1980-07-01,-3.4865108477184561
1980-10-01,-2.2453037939698766
1981-01-01,-0.95186768445070524257
1981-04-01,-2.3403895605800765
1981-07-01,-1.8610257161059807
1981-10-01,-3.6385802666948091
1982-01-01,-5.8470688195918267
1982-04-01,-6.1390222635587668
1982-07-01,-7.2201156178248901
1982-10-01,-7.9085243567565778
1983-01-01,-7.4181010113466834
1983-04-01,-6.0570355209403199
1983-07-01,-4.9493888908234818
1983-10-01,-3.7719213177059841
1984-01-01,-2.8085750512745825
1984-04-01,-1.9938018956440802
1984-07-01,-1.9257756781320457
1984-10-01,-2.0025634474219417
1985-01-01,-1.9308206808521607
1985-04-01,-1.9397281209305523
1985-07-01,-1.3106280841714563
1985-10-01,-1.4313744372607522
1986-01-01,-1.3515794081004986
1986-04-01,-1.7333695655404801
1986-07-01,-1.6110280661541819
1986-10-01,-1.8909336184232553
1987-01-01,-2.0568885894643560
1987-04-01,-1.7846633301701718
1987-07-01,-1.7083875840394910
1987-10-01,-0.80023499414186990717
1988-01-01,-1.0553564638135969
1988-04-01,-0.52367842168089048332
1988-07-01,-0.70006217293458730562
1988-10-01,-0.13408001793166220957
1989-01-01,0.13116329110218063491
1989-04-01,0.15505251462844969269
1989-07-01,0.16687320717188954503
1989-10-01,-0.35337415873821168194
1990-01-01,0.03008362459293403266
